,Date,Result,Venue,Score,Opponent,Attendance,Percent
0,2022-09-11,L,Home,20,21,67805,0.9761873911228206
1,2022-09-19,L,Away,7,41,70683,0.0
2,2022-09-25,W,Home,24,22,68649,0.9883384442620826
3,2022-10-02,W,Away,24,17,65781,0.0
4,2022-10-09,W,Away,21,17,51836,0.0
6,2022-10-23,W,Home,19,10,69459,1.0
7,2022-10-30,W,Away,17,10,68467,0.0
8,2022-11-06,L,Away,17,20,73475,0.0
9,2022-11-13,W,Home,17,10,69240,0.9968470608560446
10,2022-11-17,W,Away,27,17,77506,0.0
11,2022-11-27,L,Home,16,20,69441,0.9997408543169352
12,2022-12-04,L,Away,10,35,69879,0.0
13,2022-12-11,L,Home,22,36,68409,0.9848831684878849
14,2022-12-18,L,Away,14,17,70240,0.0
15,2022-12-24,L,Home,14,19,66634,0.9593285247412142
16,2022-12-29,L,Home,13,27,69292,0.997595703940454
17,2023-01-07,L,Away,16,20,70050,0.0
18,2023-09-10,L,Away,15,16,70024,0.0
19,2023-09-17,W,Home,27,24,67438,0.9709036985847767
20,2023-09-24,L,Away,3,27,67919,0.0
21,2023-10-01,W,Home,27,3,68951,0.9926863329446148
22,2023-10-08,L,Away,16,23,65287,0.0
23,2023-10-15,L,Home,16,24,61011,0.87837429274824
25,2023-10-29,W,Home,28,23,68008,0.9791099785484962
26,2023-11-02,L,Away,16,20,65969,0.0
